t,E,p1,p2,p3,L1,L2,L3
95045.3,-3.78974e+28,-2.07836e+07,7.50966e+25,0,0,0,2.88371e+34
95850.8,-3.78974e+28,-1.73973e+07,7.50966e+25,0,0,0,2.88371e+34
96656.2,-3.78974e+28,-2.77964e+07,7.50966e+25,0,0,0,2.88371e+34
97461.7,-3.78974e+28,-2.82239e+07,7.50966e+25,0,0,0,2.88371e+34
98267.2,-3.78974e+28,-3.86846e+07,7.50966e+25,0,0,0,2.88371e+34
99072.6,-3.78974e+28,-4.04229e+07,7.50966e+25,0,0,0,2.88371e+34
99878.1,-3.78974e+28,-4.59415e+07,7.50966e+25,0,0,0,2.88371e+34
100684,-3.78974e+28,-3.64849e+07,7.50966e+25,0,0,0,2.88371e+34
101489,-3.78974e+28,-4.58117e+07,7.50966e+25,0,0,0,2.88371e+34
102295,-3.78974e+28,-4.51636e+07,7.50966e+25,0,0,0,2.88371e+34
103100,-3.78974e+28,-3.07891e+07,7.50966e+25,0,0,0,2.88371e+34
103905,-3.78974e+28,-3.51965e+07,7.50966e+25,0,0,0,2.88371e+34
104711,-3.78974e+28,-3.96303e+07,7.50966e+25,0,0,0,2.88371e+34
105516,-3.78974e+28,-4.03389e+07,7.50966e+25,0,0,0,2.88371e+34
106322,-3.78974e+28,-3.10703e+07,7.50966e+25,0,0,0,2.88371e+34
107127,-3.78974e+28,-3.80811e+07,7.50966e+25,0,0,0,2.88371e+34
107933,-3.78974e+28,-3.63641e+07,7.50966e+25,0,0,0,2.88371e+34
108738,-3.78974e+28,-3.34209e+07,7.50966e+25,0,0,0,2.88371e+34
109544,-3.78974e+28,-2.29995e+07,7.50966e+25,0,0,0,2.88371e+34
110349,-3.78974e+28,-2.51048e+07,7.50966e+25,0,0,0,2.88371e+34
111155,-3.78974e+28,-2.22318e+07,7.50966e+25,0,0,0,2.88371e+34
111960,-3.78974e+28,-2.5633e+07,7.50966e+25,0,0,0,2.88371e+34
112766,-3.78974e+28,-2.28048e+07,7.50966e+25,0,0,0,2.88371e+34
113571,-3.78974e+28,-1.74978e+07,7.50966e+25,0,0,0,2.88371e+34
114377,-3.78974e+28,-2.22151e+07,7.50966e+25,0,0,0,2.88371e+34
115182,-3.78974e+28,-1.94515e+07,7.50966e+25,0,0,0,2.88371e+34
115987,-3.78974e+28,-9.20661e+06,7.50966e+25,0,0,0,2.88371e+34
116793,-3.78974e+28,-6.48435e+06,7.50966e+25,0,0,0,2.88371e+34
117598,-3.78974e+28,-1.0034e+07,7.50966e+25,0,0,0,2.88371e+34
118404,-3.78974e+28,-1.10008e+06,7.50966e+25,0,0,0,2.88371e+34
119209,-3.78974e+28,-5.93951e+06,7.50966e+25,0,0,0,2.88371e+34
120015,-3.78974e+28,-1.07982e+07,7.50966e+25,0,0,0,2.88371e+34
120820,-3.78974e+28,-1.06745e+07,7.50966e+25,0,0,0,2.88371e+34
121626,-3.78974e+28,-2.05723e+07,7.50966e+25,0,0,0,2.88371e+34
122431,-3.78974e+28,-2.79877e+07,7.50966e+25,0,0,0,2.88371e+34
123237,-3.78974e+28,-2.79193e+07,7.50966e+25,0,0,0,2.88371e+34
124042,-3.78974e+28,-3.03693e+07,7.50966e+25,0,0,0,2.88371e+34
124848,-3.78974e+28,-4.03391e+07,7.50966e+25,0,0,0,2.88371e+34
125653,-3.78974e+28,-4.28241e+07,7.50966e+25,0,0,0,2.88371e+34
126459,-3.78974e+28,-4.28255e+07,7.50966e+25,0,0,0,2.88371e+34
127264,-3.78974e+28,-6.03486e+07,7.50966e+25,0,0,0,2.88371e+34
128070,-3.78974e+28,-5.78828e+07,7.50966e+25,0,0,0,2.88371e+34
128875,-3.78974e+28,-6.04347e+07,7.50966e+25,0,0,0,2.88371e+34
129680,-3.78974e+28,-5.3e+07,7.50966e+25,0,0,0,2.88371e+34
130486,-3.78974e+28,-5.30832e+07,7.50966e+25,0,0,0,2.88371e+34
131291,-3.78974e+28,-5.31821e+07,7.50966e+25,0,0,0,2.88371e+34
132097,-3.78974e+28,-5.32965e+07,7.50966e+25,0,0,0,2.88371e+34
132902,-3.78974e+28,-5.59268e+07,7.50966e+25,0,0,0,2.88371e+34
133708,-3.78974e+28,-6.85749e+07,7.50966e+25,0,0,0,2.88371e+34
134513,-3.78974e+28,-6.3733e+07,7.50966e+25,0,0,0,2.88371e+34
135319,-3.78974e+28,-6.14064e+07,7.50966e+25,0,0,0,2.88371e+34
136124,-3.78974e+28,-5.15921e+07,7.50966e+25,0,0,0,2.88371e+34
136930,-3.78974e+28,-4.92942e+07,7.50966e+25,0,0,0,2.88371e+34
137735,-3.78974e+28,-3.95082e+07,7.50966e+25,0,0,0,2.88371e+34
138541,-3.78974e+28,-3.22367e+07,7.50966e+25,0,0,0,2.88371e+34
139346,-3.78974e+28,-3.74824e+07,7.50966e+25,0,0,0,2.88371e+34
140152,-3.78974e+28,-4.02408e+07,7.50966e+25,0,0,0,2.88371e+34
140957,-3.78974e+28,-3.05091e+07,7.50966e+25,0,0,0,2.88371e+34
141762,-3.78974e+28,-3.57947e+07,7.50966e+25,0,0,0,2.88371e+34
142568,-3.78974e+28,-2.85898e+07,7.50966e+25,0,0,0,2.88371e+34
143373,-3.78974e+28,-2.6399e+07,7.50966e+25,0,0,0,2.88371e+34
144179,-3.78974e+28,-1.42182e+07,7.50966e+25,0,0,0,2.88371e+34
144984,-3.78974e+28,-1.70539e+07,7.50966e+25,0,0,0,2.88371e+34
145790,-3.78974e+28,-1.23998e+07,7.50966e+25,0,0,0,2.88371e+34
146595,-3.78974e+28,-1.77607e+07,7.50966e+25,0,0,0,2.88371e+34
147401,-3.78974e+28,-2.56342e+07,7.50966e+25,0,0,0,2.88371e+34
148206,-3.78974e+28,-2.85183e+07,7.50966e+25,0,0,0,2.88371e+34
149012,-3.78974e+28,-2.89133e+07,7.50966e+25,0,0,0,2.88371e+34
149817,-3.78974e+28,-2.68192e+07,7.50966e+25,0,0,0,2.88371e+34
150623,-3.78974e+28,-1.72344e+07,7.50966e+25,0,0,0,2.88371e+34
151428,-3.78974e+28,-1.76637e+07,7.50966e+25,0,0,0,2.88371e+34
152234,-3.78974e+28,-2.31055e+07,7.50966e+25,0,0,0,2.88371e+34
153039,-3.78974e+28,-1.85555e+07,7.50966e+25,0,0,0,2.88371e+34
153845,-3.78974e+28,-1.15157e+07,7.50966e+25,0,0,0,2.88371e+34
154650,-3.78974e+28,-1.44894e+07,7.50966e+25,0,0,0,2.88371e+34
155455,-3.78974e+28,-7.47093e+06,7.50966e+25,0,0,0,2.88371e+34
156261,-3.78974e+28,-2.04684e+07,7.50966e+25,0,0,0,2.88371e+34
157066,-3.78974e+28,-8.46944e+06,7.50966e+25,0,0,0,2.88371e+34
157872,-3.78974e+28,-8.98411e+06,7.50966e+25,0,0,0,2.88371e+34
158677,-3.78974e+28,-1.20096e+07,7.50966e+25,0,0,0,2.88371e+34
159483,-3.78974e+28,-2.25471e+07,7.50966e+25,0,0,0,2.88371e+34
160288,-3.78974e+28,-3.05938e+07,7.50966e+25,0,0,0,2.88371e+34
161094,-3.78974e+28,-2.61468e+07,7.50966e+25,0,0,0,2.88371e+34
161899,-3.78974e+28,-1.92088e+07,7.50966e+25,0,0,0,2.88371e+34
162705,-3.78974e+28,-7.27897e+06,7.50966e+25,0,0,0,2.88371e+34
163510,-3.78974e+28,-1.03627e+07,7.50966e+25,0,0,0,2.88371e+34
164316,-3.78974e+28,-5.95364e+06,7.50966e+25,0,0,0,2.88371e+34
165121,-3.78974e+28,5.94823e+06,7.50966e+25,0,0,0,2.88371e+34
165927,-3.78974e+28,7.83825e+06,7.50966e+25,0,0,0,2.88371e+34
166732,-3.78974e+28,7.21857e+06,7.50966e+25,0,0,0,2.88371e+34
167537,-3.78974e+28,6.58999e+06,7.50966e+25,0,0,0,2.88371e+34
168343,-3.78974e+28,3.45192e+06,7.50966e+25,0,0,0,2.88371e+34
169148,-3.78974e+28,-4.69624e+06,7.50966e+25,0,0,0,2.88371e+34
169954,-3.78974e+28,-1.03523e+07,7.50966e+25,0,0,0,2.88371e+34
170759,-3.78974e+28,-1.10156e+07,7.50966e+25,0,0,0,2.88371e+34
171565,-3.78974e+28,-6.68585e+06,7.50966e+25,0,0,0,2.88371e+34
172370,-3.78974e+28,5.13758e+06,7.50966e+25,0,0,0,2.88371e+34
173176,-3.78974e+28,1.19514e+07,7.50966e+25,0,0,0,2.88371e+34
173981,-3.78974e+28,1.1255e+07,7.50966e+25,0,0,0,2.88371e+34
174787,-3.78974e+28,1.80526e+07,7.50966e+25,0,0,0,2.88371e+34
175592,-3.78974e+28,1.98409e+07,7.50966e+25,0,0,0,2.88371e+34
176398,-3.78974e+28,1.66198e+07,7.50966e+25,0,0,0,2.88371e+34
177203,-3.78974e+28,1.08903e+07,7.50966e+25,0,0,0,2.88371e+34
178009,-3.78974e+28,2.65241e+06,7.50966e+25,0,0,0,2.88371e+34
178814,-3.78974e+28,1.9089e+06,7.50966e+25,0,0,0,2.88371e+34
179620,-3.78974e+28,1.15782e+06,7.50966e+25,0,0,0,2.88371e+34
180425,-3.78974e+28,399254,7.50966e+25,0,0,0,2.88371e+34
181230,-3.78974e+28,-366717,7.50966e+25,0,0,0,2.88371e+34
182036,-3.78974e+28,-8.64207e+06,7.50966e+25,0,0,0,2.88371e+34
182841,-3.78974e+28,-1.69247e+07,7.50966e+25,0,0,0,2.88371e+34
183647,-3.78974e+28,-1.77124e+07,7.50966e+25,0,0,0,2.88371e+34
184452,-3.78974e+28,-1.10052e+07,7.50966e+25,0,0,0,2.88371e+34
185258,-3.78974e+28,-1.43078e+07,7.50966e+25,0,0,0,2.88371e+34
186063,-3.78974e+28,-1.01152e+07,7.50966e+25,0,0,0,2.88371e+34
186869,-3.78974e+28,-1.0931e+07,7.50966e+25,0,0,0,2.88371e+34
187674,-3.78974e+28,-9.25281e+06,7.50966e+25,0,0,0,2.88371e+34
188480,-3.78974e+28,-1.50835e+07,7.50966e+25,0,0,0,2.88371e+34
189285,-3.78974e+28,-1.84201e+07,7.50966e+25,0,0,0,2.88371e+34
190091,-3.78974e+28,-1.42614e+07,7.50966e+25,0,0,0,2.88371e+34
190896,-3.78974e+28,-2.26126e+07,7.50966e+25,0,0,0,2.88371e+34
191702,-3.78974e+28,-1.59662e+07,7.50966e+25,0,0,0,2.88371e+34
192507,-3.78974e+28,-2.68309e+07,7.50966e+25,0,0,0,2.88371e+34
193312,-3.78974e+28,-5.02055e+07,7.50966e+25,0,0,0,2.88371e+34
194118,-3.78974e+28,-5.10802e+07,7.50966e+25,0,0,0,2.88371e+34
194923,-3.78974e+28,-7.19666e+07,7.50966e+25,0,0,0,2.88371e+34
195729,-3.78974e+28,-7.78551e+07,7.50966e+25,0,0,0,2.88371e+34
196534,-3.78974e+28,-6.62449e+07,7.50966e+25,0,0,0,2.88371e+34
197340,-3.78974e+28,-8.21483e+07,7.50966e+25,0,0,0,2.88371e+34
198145,-3.78974e+28,-7.05501e+07,7.50966e+25,0,0,0,2.88371e+34
198951,-3.78974e+28,-8.14641e+07,7.50966e+25,0,0,0,2.88371e+34
199756,-3.78974e+28,-7.73798e+07,7.50966e+25,0,0,0,2.88371e+34
200562,-3.78974e+28,-5.32958e+07,7.50966e+25,0,0,0,2.88371e+34
201367,-3.78974e+28,-3.92204e+07,7.50966e+25,0,0,0,2.88371e+34
202173,-3.78974e+28,-1.01466e+07,7.50966e+25,0,0,0,2.88371e+34
202978,-3.78974e+28,-1.10866e+07,7.50966e+25,0,0,0,2.88371e+34
203784,-3.78974e+28,1.54753e+07,7.50966e+25,0,0,0,2.88371e+34
204589,-3.78974e+28,4.52137e+06,7.50966e+25,0,0,0,2.88371e+34
205395,-3.78974e+28,6.06537e+06,7.50966e+25,0,0,0,2.88371e+34
206200,-3.78974e+28,2.60254e+06,7.50966e+25,0,0,0,2.88371e+34
207005,-3.78974e+28,6.63638e+06,7.50966e+25,0,0,0,2.88371e+34
207811,-3.78974e+28,1.81669e+07,7.50966e+25,0,0,0,2.88371e+34
208616,-3.78974e+28,1.21874e+07,7.50966e+25,0,0,0,2.88371e+34
209422,-3.78974e+28,1.20122e+06,7.50966e+25,0,0,0,2.88371e+34
210227,-3.78974e+28,7.71466e+06,7.50966e+25,0,0,0,2.88371e+34
211033,-3.78974e+28,-781169,7.50966e+25,0,0,0,2.88371e+34
211838,-3.78974e+28,5.72201e+06,7.50966e+25,0,0,0,2.88371e+34
212644,-3.78974e+28,2.2174e+06,7.50966e+25,0,0,0,2.88371e+34
213449,-3.78974e+28,-2.12977e+07,7.50966e+25,0,0,0,2.88371e+34
214255,-3.78974e+28,-2.7313e+07,7.50966e+25,0,0,0,2.88371e+34
215060,-3.78974e+28,-3.83345e+07,7.50966e+25,0,0,0,2.88371e+34
215866,-3.78974e+28,-4.9361e+07,7.50966e+25,0,0,0,2.88371e+34
216671,-3.78974e+28,-5.53909e+07,7.50966e+25,0,0,0,2.88371e+34
217477,-3.78974e+28,-7.3929e+07,7.50966e+25,0,0,0,2.88371e+34
218282,-3.78974e+28,-7.74677e+07,7.50966e+25,0,0,0,2.88371e+34
219087,-3.78974e+28,-1.06018e+08,7.50966e+25,0,0,0,2.88371e+34
219893,-3.78974e+28,-1.04565e+08,7.50966e+25,0,0,0,2.88371e+34
220698,-3.78974e+28,-1.08118e+08,7.50966e+25,0,0,0,2.88371e+34
221504,-3.78974e+28,-1.2918e+08,7.50966e+25,0,0,0,2.88371e+34
222309,-3.78974e+28,-1.35242e+08,7.50966e+25,0,0,0,2.88371e+34
223115,-3.78974e+28,-1.38808e+08,7.50966e+25,0,0,0,2.88371e+34
223920,-3.78974e+28,-1.59884e+08,7.50966e+25,0,0,0,2.88371e+34
224726,-3.78974e+28,-1.88466e+08,7.50966e+25,0,0,0,2.88371e+34
225531,-3.78974e+28,-1.92046e+08,7.50966e+25,0,0,0,2.88371e+34
226337,-3.78974e+28,-1.78125e+08,7.50966e+25,0,0,0,2.88371e+34
227142,-3.78974e+28,-1.81713e+08,7.50966e+25,0,0,0,2.88371e+34
227948,-3.78974e+28,-1.77803e+08,7.50966e+25,0,0,0,2.88371e+34
228753,-3.78974e+28,-1.88902e+08,7.50966e+25,0,0,0,2.88371e+34
229559,-3.78974e+28,-2.07507e+08,7.50966e+25,0,0,0,2.88371e+34
230364,-3.78974e+28,-1.98609e+08,7.50966e+25,0,0,0,2.88371e+34
231170,-3.78974e+28,-2.07219e+08,7.50966e+25,0,0,0,2.88371e+34
231975,-3.78974e+28,-2.0083e+08,7.50966e+25,0,0,0,2.88371e+34
232780,-3.78974e+28,-1.99446e+08,7.50966e+25,0,0,0,2.88371e+34
233586,-3.78974e+28,-1.65557e+08,7.50966e+25,0,0,0,2.88371e+34
234391,-3.78974e+28,-1.84186e+08,7.50966e+25,0,0,0,2.88371e+34
235197,-3.78974e+28,-1.80314e+08,7.50966e+25,0,0,0,2.88371e+34
236002,-3.78974e+28,-1.76445e+08,7.50966e+25,0,0,0,2.88371e+34
236808,-3.78974e+28,-1.67578e+08,7.50966e+25,0,0,0,2.88371e+34
237613,-3.78974e+28,-1.43712e+08,7.50966e+25,0,0,0,2.88371e+34
238419,-3.78974e+28,-1.2485e+08,7.50966e+25,0,0,0,2.88371e+34
239224,-3.78974e+28,-1.46004e+08,7.50966e+25,0,0,0,2.88371e+34
240030,-3.78974e+28,-1.52156e+08,7.50966e+25,0,0,0,2.88371e+34
240835,-3.78974e+28,-1.4831e+08,7.50966e+25,0,0,0,2.88371e+34
241641,-3.78974e+28,-1.44468e+08,7.50966e+25,0,0,0,2.88371e+34
242446,-3.78974e+28,-1.50632e+08,7.50966e+25,0,0,0,2.88371e+34
243252,-3.78974e+28,-1.36794e+08,7.50966e+25,0,0,0,2.88371e+34
244057,-3.78974e+28,-1.2296e+08,7.50966e+25,0,0,0,2.88371e+34
244862,-3.78974e+28,-1.1413e+08,7.50966e+25,0,0,0,2.88371e+34
245668,-3.78974e+28,-9.53018e+07,7.50966e+25,0,0,0,2.88371e+34
246473,-3.78974e+28,-6.39733e+07,7.50966e+25,0,0,0,2.88371e+34
247279,-3.78974e+28,-4.26511e+07,7.50966e+25,0,0,0,2.88371e+34
248084,-3.78974e+28,-5.13405e+07,7.50966e+25,0,0,0,2.88371e+34
248890,-3.78974e+28,-6.2534e+07,7.50966e+25,0,0,0,2.88371e+34
249695,-3.78974e+28,-6.62288e+07,7.50966e+25,0,0,0,2.88371e+34
250501,-3.78974e+28,-3.49174e+07,7.50966e+25,0,0,0,2.88371e+34
251306,-3.78974e+28,-7.36286e+07,7.50966e+25,0,0,0,2.88371e+34
252112,-3.78974e+28,-9.73389e+07,7.50966e+25,0,0,0,2.88371e+34
252917,-3.78974e+28,-1.06048e+08,7.50966e+25,0,0,0,2.88371e+34
253723,-3.78974e+28,-1.14761e+08,7.50966e+25,0,0,0,2.88371e+34
254528,-3.78974e+28,-1.23477e+08,7.50966e+25,0,0,0,2.88371e+34
255334,-3.78974e+28,-1.57203e+08,7.50966e+25,0,0,0,2.88371e+34
256139,-3.78974e+28,-1.65926e+08,7.50966e+25,0,0,0,2.88371e+34
256945,-3.78974e+28,-1.59647e+08,7.50966e+25,0,0,0,2.88371e+34
257750,-3.78974e+28,-1.68376e+08,7.50966e+25,0,0,0,2.88371e+34
