t,E,p1,p2,p3,L1,L2,L3
1.33708e+06,-2.6513e+33,-5.03496e+10,1.77846e+29,0,0,0,2.66058e+40
1.34513e+06,-2.6513e+33,-2.98749e+10,1.77846e+29,0,0,0,2.66058e+40
1.35319e+06,-2.6513e+33,-1.96433e+10,1.77846e+29,0,0,0,2.66058e+40
1.36124e+06,-2.6513e+33,-9.41202e+09,1.77846e+29,0,0,0,2.66058e+40
1.3693e+06,-2.6513e+33,-9.42381e+09,1.77846e+29,0,0,0,2.66058e+40
1.37735e+06,-2.6513e+33,-2.48001e+10,1.77846e+29,0,0,0,2.66058e+40
1.38541e+06,-2.6513e+33,-9.44815e+09,1.77846e+29,0,0,0,2.66058e+40
1.39346e+06,-2.6513e+33,-1.97035e+10,1.77846e+29,0,0,0,2.66058e+40
1.40152e+06,-2.6513e+33,5.89084e+09,1.77846e+29,0,0,0,2.66058e+40
1.40957e+06,-2.6513e+33,3.1485e+10,1.77846e+29,0,0,0,2.66058e+40
1.41762e+06,-2.6513e+33,3.14719e+10,1.77846e+29,0,0,0,2.66058e+40
1.42568e+06,-2.6513e+33,5.85162e+09,1.77846e+29,0,0,0,2.66058e+40
1.43373e+06,-2.6513e+33,5.83823e+09,1.77846e+29,0,0,0,2.66058e+40
1.44179e+06,-2.6513e+33,2.11889e+10,1.77846e+29,0,0,0,2.66058e+40
1.44984e+06,-2.6513e+33,1.60538e+10,1.77846e+29,0,0,0,2.66058e+40
1.4579e+06,-2.6513e+33,1.60401e+10,1.77846e+29,0,0,0,2.66058e+40
1.46595e+06,-2.6513e+33,3.13904e+10,1.77846e+29,0,0,0,2.66058e+40
1.47401e+06,-2.6513e+33,2.11335e+10,1.77846e+29,0,0,0,2.66058e+40
1.48206e+06,-2.6513e+33,1.5998e+10,1.77846e+29,0,0,0,2.66058e+40
1.49012e+06,-2.6513e+33,2.11053e+10,1.77846e+29,0,0,0,2.66058e+40
1.49817e+06,-2.6513e+33,5.72677e+09,1.77846e+29,0,0,0,2.66058e+40
1.50623e+06,-2.6513e+33,-1.47732e+10,1.77846e+29,0,0,0,2.66058e+40
1.51428e+06,-2.6513e+33,-5.06374e+10,1.77846e+29,0,0,0,2.66058e+40
1.52234e+06,-2.6513e+33,-5.57733e+10,1.77846e+29,0,0,0,2.66058e+40
1.53039e+06,-2.6513e+33,-5.57878e+10,1.77846e+29,0,0,0,2.66058e+40
1.53845e+06,-2.6513e+33,-3.53168e+10,1.77846e+29,0,0,0,2.66058e+40
1.5465e+06,-2.6513e+33,-5.06957e+10,1.77846e+29,0,0,0,2.66058e+40
1.55455e+06,-2.6513e+33,-2.51033e+10,1.77846e+29,0,0,0,2.66058e+40
1.56261e+06,-2.6513e+33,-4.04822e+10,1.77846e+29,0,0,0,2.66058e+40
1.57066e+06,-2.6513e+33,-5.58612e+10,1.77846e+29,0,0,0,2.66058e+40
1.57872e+06,-2.6513e+33,-2.51475e+10,1.77846e+29,0,0,0,2.66058e+40
1.58677e+06,-2.6513e+33,-4.05265e+10,1.77846e+29,0,0,0,2.66058e+40
1.59483e+06,-2.6513e+33,-4.56627e+10,1.77846e+29,0,0,0,2.66058e+40
1.60288e+06,-2.6513e+33,-4.56775e+10,1.77846e+29,0,0,0,2.66058e+40
1.61094e+06,-2.6513e+33,-7.12993e+10,1.77846e+29,0,0,0,2.66058e+40
